winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2001,January,11,11,11,11,11,11,11,11,11,1e92fb7791497eb6060dd23d62c2bba9729194a0
2001,March,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
2001,October,22,22,22,22,22,22,22,22,22,1e92fb7791497eb6060dd23d62c2bba9729194a0
2001,November,4,4,4,4,4,4,4,4,4,1e92fb7791497eb6060dd23d62c2bba9729194a0
2001,December,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
2001,NA,28,28,28,28,28,28,28,28,28,1e92fb7791497eb6060dd23d62c2bba9729194a0
2002,January,42,42,42,42,42,42,42,42,42,1e92fb7791497eb6060dd23d62c2bba9729194a0
2002,March,19,19,19,19,19,19,19,19,19,1e92fb7791497eb6060dd23d62c2bba9729194a0
2002,October,237,237,237,237,237,237,237,237,237,1e92fb7791497eb6060dd23d62c2bba9729194a0
2002,November,20,20,20,20,20,20,20,20,20,1e92fb7791497eb6060dd23d62c2bba9729194a0
2002,December,12,12,12,12,12,12,12,12,12,1e92fb7791497eb6060dd23d62c2bba9729194a0
2002,NA,12,12,12,12,12,12,12,12,12,1e92fb7791497eb6060dd23d62c2bba9729194a0
2003,January,23,23,23,23,23,23,23,23,23,1e92fb7791497eb6060dd23d62c2bba9729194a0
2003,March,18,18,18,18,18,18,18,18,18,1e92fb7791497eb6060dd23d62c2bba9729194a0
2003,October,136,136,136,136,136,136,136,136,136,1e92fb7791497eb6060dd23d62c2bba9729194a0
2003,November,13,13,13,13,13,13,13,13,13,1e92fb7791497eb6060dd23d62c2bba9729194a0
2003,December,103,103,103,103,103,103,103,103,103,1e92fb7791497eb6060dd23d62c2bba9729194a0
2003,NA,51,51,51,51,51,51,51,51,51,1e92fb7791497eb6060dd23d62c2bba9729194a0
2004,January,29,29,29,29,29,29,29,29,29,1e92fb7791497eb6060dd23d62c2bba9729194a0
2004,March,15,15,15,15,15,15,15,15,15,1e92fb7791497eb6060dd23d62c2bba9729194a0
2004,October,66,66,66,66,66,66,66,66,66,1e92fb7791497eb6060dd23d62c2bba9729194a0
2004,November,34,34,34,34,34,34,34,34,34,1e92fb7791497eb6060dd23d62c2bba9729194a0
2004,December,18,18,18,18,18,18,18,18,18,1e92fb7791497eb6060dd23d62c2bba9729194a0
2004,NA,17,17,17,17,17,17,17,17,17,1e92fb7791497eb6060dd23d62c2bba9729194a0
2005,January,42,42,42,42,42,42,42,42,42,1e92fb7791497eb6060dd23d62c2bba9729194a0
