species,locationgroup,model_type,analysis,fingerprint,status
2040,ZR,aggregate imputed: sum ~ year + month,00f20bea918afaf00cde943a5754fcd6293b7581,d91cb1924d5f41be83a17ec25204ba9f85a79f51,converged
1710,WAL,yearly imputed index: Total ~ Year,00ff391a1b42657d38efe31be897e5c7d8fae3a6,a613f39f1f1b0c7349f31aa5f6530a5d4acde55c,converged
4070,ZSVAL,yearly imputed index: Total ~ Year,00ff92784d76ab251ffc0bbf78196f4764549e12,681ea1b7f838674cc6cc66df54f580ccec100e42,converged
5460,SEST,yearly imputed index: Total ~ Year + Month,01013cc5a9ba2d882ea488376fd272cfb09a6e44,2e604d0cde9bba7cc974468dd39cf04c8424b287,converged
4930,WAL,smoothed imputed index: Total ~ Year,010bc030243f6827b18d733dbbbfd5085dd22ca3,d6c3218bfb0448201c4c47c41400cec3ace08b57,converged
1220,SEST,yearly imputed index: Total ~ Year + Month,010e10c0785b37e5a300a92354de46bd36b8f667,3f096cbab35a69388ba121f818110f83695b26c1,converged
WI-alles,VLAA,composite index: ~year,01116fb4975e484fc425f7c058625927e3eca96f,f3d9055e615a6d32e4bd95389bbc32c121d3efe7,converged
5900,VLAA,aggregate imputed: sum ~ year + month,0111fe65dd4b9c2b526fa57d7b096894d5342787,9bd3acf004b9797078c634e0a8090d216429a386,converged
4930,WALN2K,aggregate imputed: sum ~ year + month,012595f5418cf069e456f9aeaddd8222dc5e310b,119ad7ef3cf7168a87f6d404e6a70410a977e5d1,converged
5610,WAL,smoothed imputed index: Total ~ Year,012e0e3171a5b03f8b14e0fcbe830aba4dc9249e,5064fb97f94b3b66cfffada35a08b70a6855f74d,converged
1670,ZR,smoothed imputed index: Total ~ Year + Month,01426fa1d1e918b6aa46bd80ecd87900fbfe58f1,36cc91da3bc6f75ceec3920b3a5769c2a87b9bf4,converged
5610,NOH,aggregate imputed: max ~ year,0143d3f97f84e64db0b37b2d6d39fbe0b0a02aed,ca444dc84495cb57d49ce6fe033fa687afbe0e43,converged
4860,SEST,aggregate imputed: sum ~ year + month,01537455a813f05d5da21cf22a9b3dda0ee5981c,093a7da43cebb59b83dc24e2566731910264310e,converged
1580,ZR,aggregate imputed: max ~ year,015bf739264922cae1afde7cc0ab4febb11052a3,d9da07a911f4c03ffe027a763f39683e67b0c11b,converged
5100,WALN2K,aggregate imputed: sum ~ year + month,01638b7682c23eccdc1f0b0cc03858fae88ba874,04d4db6b5ce244c89ad14c16365c97fdff20d952,converged
1619,ZR,smoothed imputed index: Total ~ Year,01687d3e7a1f2c34b502bddcc969a214906908a6,5538796f8f6a1455788eaf08267e4342f5c5fcaa,converged
5900,LO,smoothed imputed index: Total ~ Year + Month,016e5c22410e67974dd99910aada329b5966fa8b,c2b99c6f79877f9e0eb9affd253d3ca100780b55,converged
720,ZS,aggregate imputed: sum ~ year + month,016f443179ba4382d04bf82d1164d6815f42cfbb,0b688a8a471735017f01fd6a7da245bf1a03ecde,converged
1190,ZS,smoothed imputed index: Total ~ Year + Month,017f4c7234ec010e63b6f16408715b15ffc7eed0,882522513c5002bb7c6f6dcf998b1fd50c04eb79,converged
4070,SEST,smoothed imputed index: Total ~ Year + Month,018713b5fb7193ee38aae5dca22e74df11a8d1de,499a10f6fc4e199442eadc1b1039fbdf39d7e08f,converged
1530,ZS,yearly imputed index: Total ~ Year,018a0421a3460bfe088428eb2cbeb72efb114154,a178f61299576a40e44cae4919850656f525c2a6,converged
90,VLN2K,smoothed imputed index: Total ~ Year,01afa16569781cc87347acd05136f828f84f6715,3d483e490eca0ef88a00d16632afdb74e23e0cfb,converged
1750,VLAA,smoothed imputed index: Total ~ Year + Month,01ba523c3a821eacc5dfef9a321ee2534b6b97a1,06305c77155fe9da9b307f22fa4877de22ec33b6,converged
5820,SEST,smoothed imputed index: Total ~ Year + Month,01bf4930ca9b174a9768ef7d86e452227af358ad,9e99eb3693f723831334c7e6ea0216b855be8b5d,converged
6000,WAL,aggregate not imputed: sum ~ year + month,01c17c35b450345c948722a23b5ef626c4b4e289,1912aae4f94530d986509bd3247c6590d76eb1f5,converged
2030,BEL,yearly imputed index: Total ~ Year,01c5d2c3e1c4966b29aa1ca028d0692e0941443f,608430c8d2928deb8ac32ad5635fc02ef8fa379b,converged
1710,RO,aggregate imputed: sum ~ year + month,01c64ad82a4c35bfe078297841291d985eb098a0,2e625f233b40ab2419de9399b2c7da845498f62f,converged
1869,VLAA,aggregate imputed: max ~ year,01c94fe4071c96ba49251f8c1379aef24400d3fd,57fd943939d5aac697899a024c3969b1920d3cf5,converged
2180,ZSVAL,aggregate imputed: sum ~ year + month,01d19d44e1d82efb77b3e2fb12a01d5717fa0e11,2c50a00fe5a801ee9722c5a43bf7ef47ffdc78fa,converged
1190,ZS,aggregate imputed: max ~ year,01d70628440c18b4be1e7dc443b0e4a3bfdf677c,b5fd2a8f601d9f52de5dc2484628e2a64d87c35c,converged
2180,ZS,aggregate imputed: max ~ year,01e548be488107bfa55d68098b188fb74bd8447b,1bed5fc4b30b8348973a47fe2699f329286930ee,converged
4860,LO,aggregate imputed: max ~ year,02057d29eef31d31fe65191a20f019309de84b72,6f5ff075db44d7beff3cd57b5810ab78af81063a,converged
1580,ZR,aggregate not imputed: sum ~ year + month,0206dfa7e40a8aef0c5cb7086d7d1294b8e073a1,d982b5123e93af36a1c7e6039436f30de0ac4c9d,converged
20800,WETL,smoothed imputed index: Total ~ Year + Month,0210f4d3ae1345dd0c94c7de6a2340ebaec96abb,07f891f99c893a540bd103370b32073f7439a490,converged
5290,NOH,aggregate imputed: sum ~ year + month,021dd161cb7d1129eec41c985151292abf04538d,af8fcb8bc0241c9ec6e5897aa3d6e7a8f094a9c5,converged
1840,ZS,yearly imputed index: Total ~ Year + Month,02259b1154c4281abddacc8ed567625cef3e598f,9bb1ad6b4c0bce9eba8043475700f1b736f5d1b5,converged
5120,ZSVAL,aggregate imputed: sum ~ year + month,02272a3d2c9bd5f61c8ce323d4d038aff832102d,dd7950e4786744e05b442659c5b398197eba573a,converged
5820,BELN2K,smoothed imputed index: Total ~ Year,02289c7a6807987b7af61716f03673301ac0cf53,17dec40b080ed230b91952af800ee8240d34d063,converged
2180,SEST,smoothed imputed index: Total ~ Year + Month,022d73ba531b31f03071e3a6dd500710ab3c9ac7,bfd38b33f8a30b99bd5ca006d2cd638efa47a217,converged
1580,SEST,aggregate imputed: sum ~ year + month,023e8b187a34e8e91b54b0f00aee566877221355,3cd090855242f77e1b86ca8571eff6cdf04ac655,converged
2250,RO,smoothed imputed index: Total ~ Year + Month,024c26dd71f0961287d4a49df82f1b72c38b00b3,e1b970015473590c084f0e68fa6016e1770cf946,converged
1619,SEST,aggregate imputed: sum ~ year + month,0268c27c534d1c06ef467ff35b3c02e759a1c5bc,a8fba749beb4c7aabf26945fa1682609698fe6bc,converged
1620,NOH,aggregate imputed: sum ~ year + month,0273f51c588482c0a148adebb02a6c74a525a65c,6e18804b973a7e508f567a4367f8be28f42db32e,converged
5120,WALN2K,aggregate not imputed: sum ~ year + month,0274b41ebe59fab7c4936953314c56d6ec532805,f843c869009bf065af4faac27fc12ee0db4aa731,converged
2210,NOH,yearly imputed index: Total ~ Year,0277afd7736b746822845a788177b9e2a6e50de6,9a9f5be67b43efe75b747bc7a14007baf217dc3f,converged
5290,BELN2K,aggregate not imputed: sum ~ year + month,027824262153137b6fa2049bfae09ff128b426d1,260f5317cad739922b83efca0476d519afce8f2d,converged
1660,VLAA,smoothed imputed index: Total ~ Year + Month,028654b2604d74d113a127c794398cb1465797d1,40c143501cd8cc9e8927025158b8dc4e4b68ac9d,converged
1530,WALN2K,yearly imputed index: Total ~ Year,02914612a00f7918f077fc87627fd38a7337b9f9,81b2a10c8b1717d0ebfc79a2f5a67c6b5268e8fc,converged
1220,ZR,aggregate not imputed: sum ~ year + month,02ab1b886f3390d697bd9b01d51a4839e4a84309,fb851ce53bff2479ed5a59481e9406da6e58529c,converged
5610,ZSVAL,smoothed imputed index: Total ~ Year + Month,02c4fe34536c4c4c50b83587c6b322c27e2c2cbc,8409119da82c2a3bac48a66a915378b8cbc4b392,converged
1790,RO,smoothed imputed index: Total ~ Year,02d5119a85cc7d63bba9867fc0bc9e4fb7cd14a3,24e43b17b79b9770c8e51b3c85684dc6c1584284,converged
1730,LO,smoothed imputed index: Total ~ Year,02e6d280ec343656a422cf1e9a19c424b6d63b3b,d1a5c1f1ed3a03a8fe6bc1cd63ea7bf2781f5897,converged
5820,WAL,smoothed imputed index: Total ~ Year,02ee6c728608decf2455ad5b19d3b12169b6310b,c2a7c2fc23fec7b681f43104a6f6dc5408134a4e,converged
1590,ZR,aggregate not imputed: sum ~ year + month,02f8271de5253e686aa1b5b136c29f058fae25cd,37e0f9a04830000fbd279d859857e33de5cdd04e,converged
1660,VLN2K,aggregate imputed: max ~ year,0301814b21683897a93327b8d3a302fcd163747c,ca40f9b49abbef04aeeb8f519da7008ef4bdb6a5,converged
5560,VLAA,yearly imputed index: Total ~ Year + Month,030720035d76f77cc201b2a28e3dfbb98e5ac974,feea5d1b29d89784be81384de8d6ed0a81d974b0,converged
1610,BEL,aggregate imputed: sum ~ year + month,030b64c2069440ae77d01add03940fff5f877725,af8b02699e300316a079aceec31bbb7690e3090b,converged
2200,NOH,smoothed imputed index: Total ~ Year,0312a9839dd58967b2fd58c991f46da5cbb64d9c,a4a92c614ddfb36feb40c4e8358da2e5305dfee4,converged
1710,BEL,yearly imputed index: Total ~ Year + Month,03146f244d650232fce83750d7d44fde4dc7bb31,04916ae1d16110f5461e2fcb05918dd17b953f6f,converged
1520,WALN2K,aggregate not imputed: sum ~ year + month,03163b2a6b8b6ab05c150100784ebde1ac4c3769,0cdf111535c528a455414dbe5315f19a95cfe8af,converged
1670,VLAA,inla binomial: year * (location + month),031c0073763b16de39312fe7cd912b8fe678a2e3,dafc7ccfab2131b5cad71cbcf23e018ac77b2539,converged
5560,BEL,aggregate imputed: max ~ year,032428e42cf62001b7a44cf5a199d235b2938d16,9c0a2852c7fa438a32bc5c96ecff10127d80acf4,converged
2210,NOH,smoothed imputed index: Total ~ Year,0327de6d6ae9368952960f872de4743c1185de73,c8402febbab5acc45ab579b00e39d54a9661b36c,converged
1820,WETL,yearly imputed index: Total ~ Year,034306f033836453c23b5636e38a3265a79150dc,6d8d3b1b22991caa12477c2feee7301a2c521026,converged
950,BELN2K,yearly imputed index: Total ~ Year,0352bea96d68db4cad7dded5965be1d8aea1329c,1a7d035b40e92cb6d3b04dd14a213824c6212604,converged
90,RO,yearly imputed index: Total ~ Year + Month,03539d0d321f4992f210138265303372ce6a0ce9,bd82c5e9631f0397534d6d24565a92a982caec47,converged
5100,BEL,yearly imputed index: Total ~ Year,036198832dfec2253219d0e7eba0731340a3b318,b5dc9dfdee14423e037acb1496d58d014387bbef,converged
5340,ZS,yearly imputed index: Total ~ Year,0368f80a45fa94453658b3074b61770a188f9ebf,ecb6363dd3b62dfbabe51eeab7d8dd43a484897d,converged
20800,SEST,yearly imputed index: Total ~ Year,037049defb7f5e25a14f931267ff582298635b88,d6752b9d56f241e61d6dec570aa63e430b70dba3,converged
5820,NOH,aggregate not imputed: sum ~ year + month,03726f1bf50175a7549178129cbe4a66d58402a8,291bef14b0dc1f723972865f1118e4ef33ef5e85,converged
5910,BEL,inla binomial + zeroinflatednbinomial0: year * (location + month),037e37244ff4cafa1191ba6270b1b4378f69e12e,2ad3b0bdc16e4eeb4d547874923338185f4bbe7c,converged
1574,WAL,aggregate imputed: sum ~ year + month,03837bc646131024b41e3f0f1c31a0e48b71bd42,9f15a1a8fb0c7397f71f8b17690b24618b35dc5c,converged
5120,NOH,aggregate not imputed: sum ~ year + month,03884cb7df11ed79b8ba3fbcccdf355975ee68f2,369f97d6fae320a446225af453ed0c0b0939eeca,converged
1590,BEL,inla binomial + zeroinflatednbinomial0: year * (location + month),039a681711c9149fcd5f8ee19894db23116544b9,41486f957b88c1a764bff65474bc649ac7293042,converged
5920,VLAA,aggregate imputed: sum ~ year + month,03a140ad4850ada902ab2aa90acffe9804be8527,b3ff5fd0cc11b9892f207fb822ea1c64707c2b49,converged
4560,BEL,yearly imputed index: Total ~ Year + Month,03a38ac09b81a04224c7c904b6c716e3bf6d9b57,4c27fc7b1551b9067c389db1eda663b4994b385f,converged
1660,NOH,aggregate not imputed: sum ~ year + month,03b9042d02b8ce8f97244a91ca0c4eb062124338,1f97067f6dc88f59e9ccb54cd36deff347dc7ef7,converged
5190,WAL,aggregate imputed: max ~ year,03d03202429505a19000e612f0c6f634dccc0723,d1d0378db31e0666e4d6c066df00dc521dd19ba3,converged
90,NOH,composite index: ~year,03d060759150c88303728879a842479f6e62fde5,b74d336a027f32f1abd6ddd0dd0ca08d179eaeda,converged
5560,WALN2K,aggregate imputed: sum ~ year + month,03d28d69d74ea4a301b50f9751ed58901d236f4b,2ff79bdfbc47a8f0936254ed95908663f0ca9313,converged
1574,ZR,aggregate imputed: sum ~ year + month,03d57ccffafedd2c260262a8b9ac3ca4b34ce5e5,8d6fb1acf94ac4b1925d9512c21d86b92b7b772c,converged
4930,VLAA,aggregate not imputed: sum ~ year + month,03d95ba326bfaf51316705048232ecbe1ca086b9,5a0c68f40016d7ea6a89f60f2f84029f6f409875,converged
1590,VLAA,aggregate imputed: sum ~ year + month,03dedeb45db9d8b2d8ea51e1ead537da5d05448a,cf8f9855649319c008b9b24e597990005c9dfa76,converged
70,SEST,yearly imputed index: Total ~ Year,03e1d336ad1156cdc616790000a6ffa8619faaf8,ac704493d2215d2991db490cd6a25c08fdd3b6dd,converged
1220,ZSVAL,aggregate imputed: sum ~ year + month,03f163124bda14b651fe6f5a2216ca03bfff5af6,08c6ee000d5c6dbea948f62279a210e86c97e0d1,converged
WI-steltloper,ZR,composite index: ~year,03f203f5cf73ba13eebb86e3dfd9560e907a9d13,7d6667fd2919b458fe2e256e9058150c300e555b,converged
4070,ZS,yearly imputed index: Total ~ Year,03f3dcf398ab90b1a71ef8c9b60afafa34b3f313,574ff78eaa5e22bc63211a85520476745b94ae79,converged
4070,WALN2K,aggregate imputed: max ~ year,03f492c5428899a56ca9f942d0c1475761d4026c,f3af273d56a0c40467d57256227e10294ece09ad,converged
1530,WETL,yearly imputed index: Total ~ Year,03f53baeb072076fef3c9041c27051a6e0596f19,833b241a6e0c6b19913c1bdb2cb7f5cbb2d0d233,converged
1560,WAL,smoothed imputed index: Total ~ Year,03f74cd04a5dd5ee3d195655abb1478460bcd1d3,e4409092ca60e69850aeef52ec4febc86b79b049,converged
2200,ZS,aggregate not imputed: sum ~ year + month,03fd80321ba8aa6a417caa738dc96969d1bfb7c2,b37e8d0f2edfebacd735d532055df95f8a12fdee,converged
120,WAL,aggregate imputed: sum ~ year + month,0408a6a312aa37f265338146aa23d4b409d8ad84,ae7659190f66ea14b67c7c3bc3dcca5d733f8c0c,converged
1980,BELN2K,smoothed imputed index: Total ~ Year,041313fa590b2213b465ff1a9b5ac949dbb9c3ab,8afd9e59251414cbfdff8b98d95ca444943991cb,converged
1660,BEL,aggregate not imputed: sum ~ year + month,041732e17ce51ae9a8d78cda1a0434e824f7bdae,b4d696e8f957d1d30f17d30b5b4615c449fab7be,converged
5190,LO,aggregate not imputed: sum ~ year + month,041fb2e823304355ae752df9bfe067b2dfff2bc9,ce6b159d47db4c0764c0a9da8b7fa9429fcc50a7,converged
6000,ZR,aggregate not imputed: sum ~ year + month,043354f9f7984545afa94ed9509f5db338afe24a,54f0fee24b4eafd942dc6d32576834052c5fafc0,converged
1620,NOH,yearly imputed index: Total ~ Year + Month,043a6f60fe664aad7943a38c78783ae5a0b3f6e4,e07670984bc32ddcf5a87b7ee3e93ae586069278,converged
1869,BEL,aggregate imputed: max ~ year,043c435b16e99a6ab30d7e79b3d47737e167d7a9,bdd04be8ec8dd953a5ef1c8dffe9dda1533106c0,converged
4860,RO,aggregate not imputed: sum ~ year + month,044019fcdb7a2cd6b699e987f21737f92b0c4c82,a3410ad647e63ac34b034c320d50dc1a128fe645,converged
5170,WETL,aggregate imputed: max ~ year,0440a02614c92dda17622abfc42b4ebed35dde12,f3d75cde8ec76f0cf7d6569c32bfa820bd5a840c,converged
2200,WALN2K,yearly imputed index: Total ~ Year + Month,044c2441317b3fc19cb9bab57c7129a097ef1003,3e5420e88a635c7647dd04c09d25b65f450eb3e4,converged
1730,NOH,aggregate imputed: sum ~ year + month,044f910e0f729e7a223b1cfd2fe135eca029473e,2e6c33018060f32bdad3525e7bc6642a92bedc91,converged
1580,BELN2K,yearly imputed index: Total ~ Year + Month,045ad0a36abb1786622d28b6b1f826464a3c7d14,35f5db51cc1c0a457de69a51457d358a99acb384,converged
20800,ZSVAL,smoothed imputed index: Total ~ Year,047fc3262cb3dbe51c7d357b860475662ec9b8be,5debcf479e95d02a3e6d65d58e2635f5ec7b2aad,converged
1440,WETL,aggregate imputed: max ~ year,04836e2b219bf72833a3f31ac9718fe288cfc4a1,005ba8e946901238fe86c5fc5b8e2a05080c9234,converged
5450,WETL,aggregate not imputed: sum ~ year + month,0488da6084209dfc23b7ec9d048b45e95867cd74,83750c7eac572494af8bb1b8bac32f0a711a2828,converged
4070,WETL,smoothed imputed index: Total ~ Year,048b3c24ad2be36eb503a164946d13c89bd015d9,e1d56d956168cb25a5c16b072bda40ff337210fa,converged
5820,RO,yearly imputed index: Total ~ Year + Month,0493a288d206728c3ee3e513d6b6884c7d688d4c,6107d16732048f35e779f892fdd41da261c67a08,converged
1580,RO,smoothed imputed index: Total ~ Year,049fae5fdb6f754cd5158729f9cb5e5c7bacf15a,a3dde912036521c07a247c8bf3fd2ec0d51943d6,converged
5180,RO,yearly imputed index: Total ~ Year,04a0a8be2f3f5418091266322a1553e14a7ebb3f,76e14d5d61749cad633036ef3810eb51aa9443ef,converged
4240,WALN2K,yearly imputed index: Total ~ Year + Month,04a6f2b0349b1dc602b58fa74999d33840ceeb36,300001709d372472df5c0cb2072e3bb73df25728,converged
5340,LO,yearly imputed index: Total ~ Year,04af1fe243fdc6a575bc13b6a023c5a876efbb6a,75ae257d6d25811857fb435644842177ad1da7ea,converged
1940,BELN2K,yearly imputed index: Total ~ Year,04bad8f2bf2ae52a7f9c885b47c513309052eca5,e4b54485b8e7120b5e0a1c65449555a8078d4c96,converged
5900,ZSVAL,aggregate imputed: sum ~ year + month,04c2ef8ccb92e42fc5a007034d0ca56080cd944c,cae2de3ea4f26843fecfc95c4e78031e0dee1244,converged
20800,WALN2K,aggregate not imputed: sum ~ year + month,04ced45f793f3088d6a80336abd8472704cd9f20,54b1787468f368734e2f7e9da4f48c433eb46817,converged
1890,NOH,aggregate imputed: max ~ year,04cf9ebb42594ae9c8b153fb864342d4fadc6a19,6ecbf126019ca61cfd082bac2daa21eb0009e8db,converged
1820,BEL,smoothed imputed index: Total ~ Year,04dd16fe3a158424e3da9be27844c6b3c2143cfe,680a47e00ec1aced694b94dff79298ff2d4d6c5e,converged
4970,WALN2K,yearly imputed index: Total ~ Year + Month,04e7790a4479451f8e805f2d241b3ec705ed9ac3,792db1b615c2fe2b3a5568b02e9d86c31a0c5222,converged
1520,WAL,aggregate imputed: max ~ year,04fc0ac0382f239df0f9a7e7397850068ec612ff,40cce40efe576bc10b2c5281393a6e6847744c98,converged
5927,SEST,aggregate imputed: max ~ year,0504e40fb936066c62ce4a7b3a01ac6b1de88535,a00b47059a1197857c269e288a719903224fb637,converged
1780,WETL,aggregate not imputed: sum ~ year + month,05061428cda7627a9d497ebd34e090e6eab807ee,86535315bc713d9552d24640018e5c2c178e10f6,converged
1940,VLN2K,yearly imputed index: Total ~ Year,050b1ba9947038775b6b0a2640ca999348e25e7e,3293a7c5ce49410498b828ca5e36a5dae4355363,converged
90,ZSVAL,yearly imputed index: Total ~ Year + Month,05127beac317d03eeb05965c6740f69fe9007a43,83b9b7ad866b66a5ccb9658586baf830982ef40d,converged
5560,RO,yearly imputed index: Total ~ Year + Month,05168eb4dda94c217d84d8135f65c2c041a21dd3,2e403893ff641c8416099955c73b4e45ab60549a,converged
2230,BEL,aggregate imputed: max ~ year,051d24c59b3e57f4460a15584a7c260698129fda,a9a3f91a817dfe927c6b3e57c735e39ada9af50f,converged
4500,ZSVAL,smoothed imputed index: Total ~ Year,052c32b5b871370368b8f94d0820c048b2db3c26,42def3d0588aae937740ccd09ab3f40ad62e8f28,converged
4860,RO,aggregate imputed: max ~ year,0544bd0e91cbbfb2d8571e2019a0f5c897887b71,722ff74524b48fc3a441c4dbf29c5accd377bfd3,converged
1730,BELN2K,yearly imputed index: Total ~ Year + Month,054c35646171ec36da76d1308c4ce9dff299456e,ec602c7d63cd12058128aa2a5d3eabe07d2b9c86,converged
5190,RO,yearly imputed index: Total ~ Year,054fcbbc6a61b9b955e9f95323d68b643c5e3d94,b07d3ee01a8977f95e12ab8c373d7165087b9e32,converged
5170,WETL,smoothed imputed index: Total ~ Year,0552078c4bc58f90a3072747382420e00ee36d04,9377cc7d95a166545d6ff21c0788b73e3cf77531,converged
5900,WETL,smoothed imputed index: Total ~ Year + Month,0563428a3d311fae726f4537456af575f540258e,98d0971f33f87f76056750651a040d676c8207d6,converged
5820,LO,yearly imputed index: Total ~ Year,056abbde79d5170adae09a5cc4ef24d2a2aaee05,28f227c17138598c65b94e4591ab9b15fa82b3b0,converged
1869,VLAA,yearly imputed index: Total ~ Year + Month,056c0e285f9c645df9b898199d9a7315f2ea3334,58d114debcb96e1dc35347a521d8df26b815c63e,converged
5927,BEL,inla zeroinflatednbinomial0: year * (location + month),057aa9b76c4b5bd1c3a2fc53a509fb731b595fd0,0c4aa6258d2f00a22b90a1c16a808a3e2a1c2cfd,converged
5910,ZSVAL,yearly imputed index: Total ~ Year + Month,058799d5877f21c64f34ac7a0e412408437c6013,d89e7ebb911a104f921ad589f9a6662df37be5f2,converged
4560,LO,smoothed imputed index: Total ~ Year,058f3b0576c590869da9caa85efb010473eccb9e,58150e84d3cbe43f215c2af0bc7f67bbf0e6c307,converged
1590,NOH,aggregate imputed: max ~ year,059948df85a832cfb35a884ad6b1030f929e6a49,92eb2b8f76fde64249ac81bc0d7f4ffa2a616877,converged
4070,ZR,aggregate not imputed: sum ~ year + month,05aff72a05d442f3805230393c4d0ce69d8ef449,7e78b64e1d8c3a8ee6006ad070aed09f8cf90a28,converged
1530,LO,yearly imputed index: Total ~ Year + Month,05b2548c09b2f0e51a57124ab069ea459614226e,c8e362f56e2d8ec302efa426f686c10db1afa538,converged
720,WAL,smoothed imputed index: Total ~ Year,05b27e44e6f7fa28bcbfb51ced75270e1631336f,82dcc7ef0ea110afe0785fe7dbac9700f9eaf5b2,converged
1619,VLAA,aggregate imputed: sum ~ year + month,05b318866874347fbe28d05e2945f64980e40995,63038ae908a93c6ef86c2bbe2802a9060c75c982,converged
5340,BEL,inla zeroinflatednbinomial0: year * (location + month),05b7b47da82b6a44237822d4863155f8c64d7c53,8eacc4e1c95203e3f7f70782a51c2d811b18b374,converged
1520,RO,yearly imputed index: Total ~ Year,05c6b5fbd8b6cf9ca5ec740f7bd8d80bb834f02a,d61ba7133a990f1daae672ed7ee11b7937d18f79,converged
1520,LO,yearly imputed index: Total ~ Year,05c9e29f713e94a6288dcee57d16cee9410680c5,6dc80803a54ed3d2630afe7b7190190b914a1dfa,converged
1610,WALN2K,smoothed imputed index: Total ~ Year + Month,05d643bcaeb3050e730cdc16cfeda25a745bf650,3f5992d2f87c58839575abd225e3b154c5a7482c,converged
4930,NOH,yearly imputed index: Total ~ Year + Month,05db21340afbaec9b7549a91b24599fc4fe7ce95,d16e77b94fbf0915ff27d121601af1faab0a0bb4,converged
5560,BELN2K,aggregate not imputed: sum ~ year + month,05e551b337a03eca2794f2cd42869b562a1b3e55,28128e4147bb5f9b00cec03b4333af5a6dfaaf90,converged
5530,VLAA,yearly imputed index: Total ~ Year + Month,05e717598cb9150f0465236a2bbe7083c01fbdad,3a5fd2821139ec38361a37c9ce1f662908e2e3a9,converged
1440,NOH,aggregate not imputed: sum ~ year + month,05ee87fd5bf783165759b4ac340ac8b8ad0c9241,3c05fe3c49c9ad16002bf12e6bb09e533503632a,converged
5450,VLAA,aggregate imputed: max ~ year,05f1fdac3749e7f9b9e1d0c76b497598aad4e499,ffee57b7ae5f801375a1c88fb4464776f869ad1b,converged
5410,WALN2K,aggregate not imputed: sum ~ year + month,05f4b6c810b0b07e383777321743a8c4610c570d,7058dc409ce2e63a1c2c7ac28389de5d2ee20451,converged
2230,BELN2K,smoothed imputed index: Total ~ Year,05f4dda5631cf7bccc8b42835969632f0dc8e2a8,20ea2f3cbe3cf7f83f643f7626044d94323546a1,converged
1610,WAL,smoothed imputed index: Total ~ Year,06017aa021d820007373c6d2983cb394c5940679,d649e4632effe8b69ee797722cac6584865f2ec4,converged
5340,VLAA,smoothed imputed index: Total ~ Year,06073edbe4c05db050fe802576bc136011b79394,86b77240348e1ca0c36e22859c4b7c4e99b24acf,converged
