winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1993,NA,232,111,139.6,172,210,277.6,309.2,371.3,513,f645176aa8693976bb48bb567f382ed517c7ecd0
1994,January,422,268,297.8,349.8,383.3,482.8,530,611.6,928,f645176aa8693976bb48bb567f382ed517c7ecd0
1994,November,32.5,12,13,19,26.65,40.35,52.2,71.2,91,f645176aa8693976bb48bb567f382ed517c7ecd0
1994,December,181,95,127,146,158,203.7,231.6,268.1,308,f645176aa8693976bb48bb567f382ed517c7ecd0
1994,NA,501,315,382.7,409.6,454,522.3,613.6,794.2,904,f645176aa8693976bb48bb567f382ed517c7ecd0
1995,January,395,380,381,385,390,403,414.8,434.2,473,f645176aa8693976bb48bb567f382ed517c7ecd0
1995,November,50,40,40,43.8,46,54.35,60.2,75.35,106,f645176aa8693976bb48bb567f382ed517c7ecd0
1995,December,304,244,255,275.6,288,313,323,359.2,448,f645176aa8693976bb48bb567f382ed517c7ecd0
1995,NA,548,415,453.8,495.8,516.6,576.7,635.6,772.6,918,f645176aa8693976bb48bb567f382ed517c7ecd0
1996,January,1252,1213,1218,1228,1241,1273,1295,1338,1424,f645176aa8693976bb48bb567f382ed517c7ecd0
1996,November,53.5,48,48,49,51,58,63.2,77.15,113,f645176aa8693976bb48bb567f382ed517c7ecd0
1996,December,347,267,286,301.6,324,358.7,388.2,453.4,494,f645176aa8693976bb48bb567f382ed517c7ecd0
1996,NA,2106,1894,1950,2020,2051,2167,2243,2481,2596,f645176aa8693976bb48bb567f382ed517c7ecd0
1997,January,3362,3253,3279,3318,3341,3397,3427,3512,3606,f645176aa8693976bb48bb567f382ed517c7ecd0
1997,November,29.5,22,22,25,27,33.35,38,46.1,58,f645176aa8693976bb48bb567f382ed517c7ecd0
1997,December,328,257,281.8,298.6,311.6,338.4,365.4,431.8,493,f645176aa8693976bb48bb567f382ed517c7ecd0
1997,NA,915.5,762,786.8,854,886.6,961.8,1002,1173,1514,f645176aa8693976bb48bb567f382ed517c7ecd0
1998,January,530.5,496,501.9,510.8,521,548.7,564.4,596,634,f645176aa8693976bb48bb567f382ed517c7ecd0
1998,November,16.5,7,7.95,9.8,13,20,25.2,35.05,45,f645176aa8693976bb48bb567f382ed517c7ecd0
1998,December,361.5,303,315.8,331.6,353,377.7,397.2,452.3,541,f645176aa8693976bb48bb567f382ed517c7ecd0
1998,NA,656.5,529,566.5,601.4,634.6,697.4,743.4,822.1,870,f645176aa8693976bb48bb567f382ed517c7ecd0
1999,January,523.5,478,491,508.8,516,530,551.2,581.2,650,f645176aa8693976bb48bb567f382ed517c7ecd0
1999,November,34,27,27,30,32,36.35,41.2,57.1,89,f645176aa8693976bb48bb567f382ed517c7ecd0
1999,December,473,429,435.8,449.8,464,492,526.2,557.5,671,f645176aa8693976bb48bb567f382ed517c7ecd0
1999,NA,449.5,331,361.9,402.8,426.9,472.4,500.2,580,702,f645176aa8693976bb48bb567f382ed517c7ecd0
2000,January,401,351,363.9,384.8,391,421,438.2,469.2,545,f645176aa8693976bb48bb567f382ed517c7ecd0
2000,November,24,16,17,19,21,28,33,38.3,55,f645176aa8693976bb48bb567f382ed517c7ecd0
2000,December,339.5,275,294.8,313,329.3,362,392.2,448,502,f645176aa8693976bb48bb567f382ed517c7ecd0
2000,NA,461,369,382.8,415,443.6,494.4,525.4,598.6,750,f645176aa8693976bb48bb567f382ed517c7ecd0
2001,January,359,300,315,334,343.6,372,393.4,441.2,538,f645176aa8693976bb48bb567f382ed517c7ecd0
2001,November,15,3,6,9,11.65,16,21.2,39.05,49,f645176aa8693976bb48bb567f382ed517c7ecd0
2001,December,154,92,103,121,135.6,165,183.2,235.4,258,f645176aa8693976bb48bb567f382ed517c7ecd0
2001,NA,340,239,283.6,304.8,321,364.4,401.6,460.1,636,f645176aa8693976bb48bb567f382ed517c7ecd0
2002,January,363,283,301,334.8,349,382,410.6,462.8,525,f645176aa8693976bb48bb567f382ed517c7ecd0
2002,November,63.5,54,55,59,61,66,70,78.1,87,f645176aa8693976bb48bb567f382ed517c7ecd0
2002,December,223,165,175,196.6,211,236.4,261.4,305,342,f645176aa8693976bb48bb567f382ed517c7ecd0
