winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1999,January,2243,2243,2243,2243,2243,2243,2243,2243,2243,a9c61fce9fa6319725c401005677845b30d90c12
1999,November,3819,3819,3819,3819,3819,3819,3819,3819,3819,a9c61fce9fa6319725c401005677845b30d90c12
1999,December,3588,3588,3588,3588,3588,3588,3588,3588,3588,a9c61fce9fa6319725c401005677845b30d90c12
1999,NA,2045,2045,2045,2045,2045,2045,2045,2045,2045,a9c61fce9fa6319725c401005677845b30d90c12
2000,January,3283,3283,3283,3283,3283,3283,3283,3283,3283,a9c61fce9fa6319725c401005677845b30d90c12
2000,November,2852,2852,2852,2852,2852,2852,2852,2852,2852,a9c61fce9fa6319725c401005677845b30d90c12
2000,December,2918,2918,2918,2918,2918,2918,2918,2918,2918,a9c61fce9fa6319725c401005677845b30d90c12
2000,NA,3115,3115,3115,3115,3115,3115,3115,3115,3115,a9c61fce9fa6319725c401005677845b30d90c12
2001,January,3084,3084,3084,3084,3084,3084,3084,3084,3084,a9c61fce9fa6319725c401005677845b30d90c12
2001,November,1748,1748,1748,1748,1748,1748,1748,1748,1748,a9c61fce9fa6319725c401005677845b30d90c12
2001,December,2938,2938,2938,2938,2938,2938,2938,2938,2938,a9c61fce9fa6319725c401005677845b30d90c12
2001,NA,4025,4025,4025,4025,4025,4025,4025,4025,4025,a9c61fce9fa6319725c401005677845b30d90c12
2002,January,2274,2274,2274,2274,2274,2274,2274,2274,2274,a9c61fce9fa6319725c401005677845b30d90c12
2002,November,2699,2699,2699,2699,2699,2699,2699,2699,2699,a9c61fce9fa6319725c401005677845b30d90c12
2002,December,2783,2783,2783,2783,2783,2783,2783,2783,2783,a9c61fce9fa6319725c401005677845b30d90c12
2002,NA,3382,3382,3382,3382,3382,3382,3382,3382,3382,a9c61fce9fa6319725c401005677845b30d90c12
2003,January,2500,2500,2500,2500,2500,2500,2500,2500,2500,a9c61fce9fa6319725c401005677845b30d90c12
