winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2002,December,7,7,7,7,7,7,7,7,7,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2002,NA,6,6,6,6,6,6,6,6,6,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2003,January,68,68,68,68,68,68,68,68,68,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2003,November,124,124,124,124,124,124,124,124,124,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2003,December,48,48,48,48,48,48,48,48,48,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2003,NA,55,55,55,55,55,55,55,55,55,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2004,January,82,82,82,82,82,82,82,82,82,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2004,November,14,14,14,14,14,14,14,14,14,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2004,December,15,15,15,15,15,15,15,15,15,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2004,NA,69,69,69,69,69,69,69,69,69,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2005,January,268,268,268,268,268,268,268,268,268,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2005,November,85,85,85,85,85,85,85,85,85,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2005,December,65,65,65,65,65,65,65,65,65,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2005,NA,92,92,92,92,92,92,92,92,92,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2006,January,192,192,192,192,192,192,192,192,192,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2006,November,167,167,167,167,167,167,167,167,167,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2006,December,72,72,72,72,72,72,72,72,72,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2006,NA,18,18,18,18,18,18,18,18,18,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2007,January,261,261,261,261,261,261,261,261,261,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2007,November,139,139,139,139,139,139,139,139,139,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2007,December,145,145,145,145,145,145,145,145,145,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2007,NA,60,60,60,60,60,60,60,60,60,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2008,January,157,157,157,157,157,157,157,157,157,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2008,November,152,152,152,152,152,152,152,152,152,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2008,December,129,129,129,129,129,129,129,129,129,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2008,NA,78,78,78,78,78,78,78,78,78,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2009,January,87,87,87,87,87,87,87,87,87,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2009,November,212,212,212,212,212,212,212,212,212,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2009,December,66,66,66,66,66,66,66,66,66,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2009,NA,89,89,89,89,89,89,89,89,89,db979e8c590dc3ec9bfbaa6f3748384349cb658a
